tranx_date,tranx_date,symbol,open,close,low,high,vol,vwap,trade_count
2018-04-20 00:00:00-04:00,2018-04-20 00:00:00-04:00,GLP,16.95,16.75,16.75,16.95,42535.0,16.842719,318.0
2018-04-23 00:00:00-04:00,2018-04-23 00:00:00-04:00,GLP,16.85,17.0,16.4,17.15,66372.0,16.877803,267.0
2018-04-24 00:00:00-04:00,2018-04-24 00:00:00-04:00,GLP,17.2,16.8,16.7,17.2,42823.0,16.888135,339.0
2018-04-25 00:00:00-04:00,2018-04-25 00:00:00-04:00,GLP,16.75,16.8,16.55,16.85,32294.0,16.662508,168.0
2018-04-26 00:00:00-04:00,2018-04-26 00:00:00-04:00,GLP,16.8,16.55,16.4,16.85,38016.0,16.629685,304.0
2018-04-27 00:00:00-04:00,2018-04-27 00:00:00-04:00,GLP,16.5,16.6,16.35,16.65,49044.0,16.493694,200.0
2018-04-30 00:00:00-04:00,2018-04-30 00:00:00-04:00,GLP,16.6,17.2,16.6,17.2,42890.0,16.838004,195.0
2018-05-01 00:00:00-04:00,2018-05-01 00:00:00-04:00,GLP,17.15,16.75,16.7,17.15,30144.0,16.878451,195.0
2018-05-02 00:00:00-04:00,2018-05-02 00:00:00-04:00,GLP,16.95,16.55,16.4,16.95,154886.0,16.625671,651.0
2018-05-03 00:00:00-04:00,2018-05-03 00:00:00-04:00,GLP,16.65,16.4,16.4,16.675,32094.0,16.459274,152.0
2018-05-04 00:00:00-04:00,2018-05-04 00:00:00-04:00,GLP,16.5,16.5,16.3,16.55,59137.0,16.415859,383.0
2018-05-07 00:00:00-04:00,2018-05-07 00:00:00-04:00,GLP,16.7,16.55,16.5,16.75,133690.0,16.574093,642.0
2018-05-08 00:00:00-04:00,2018-05-08 00:00:00-04:00,GLP,16.7,16.95,16.45,16.95,95912.0,16.681881,678.0
2018-05-09 00:00:00-04:00,2018-05-09 00:00:00-04:00,GLP,16.75,16.35,16.25,16.8,74626.0,16.520932,315.0
2018-05-10 00:00:00-04:00,2018-05-10 00:00:00-04:00,GLP,16.6,17.3,16.467,17.5,173157.0,17.024504,604.0
2018-05-11 00:00:00-04:00,2018-05-11 00:00:00-04:00,GLP,17.55,17.45,17.3,18.0,246568.0,17.586178,892.0
2018-05-14 00:00:00-04:00,2018-05-14 00:00:00-04:00,GLP,17.75,17.8,17.525,17.85,138554.0,17.672579,720.0
2018-05-15 00:00:00-04:00,2018-05-15 00:00:00-04:00,GLP,17.8,17.15,17.1,17.8,92228.0,17.374577,560.0
2018-05-16 00:00:00-04:00,2018-05-16 00:00:00-04:00,GLP,17.3,17.15,17.0,17.3,59655.0,17.132845,328.0
2018-05-17 00:00:00-04:00,2018-05-17 00:00:00-04:00,GLP,17.15,17.2,17.05,17.3,54678.0,17.159291,291.0
2018-05-18 00:00:00-04:00,2018-05-18 00:00:00-04:00,GLP,17.25,17.15,17.15,17.4,71939.0,17.271033,374.0
2018-05-21 00:00:00-04:00,2018-05-21 00:00:00-04:00,GLP,17.25,17.6,17.1,17.6,394652.0,17.181288,386.0
2018-05-22 00:00:00-04:00,2018-05-22 00:00:00-04:00,GLP,17.6,17.45,17.35,17.7,112309.0,17.516328,402.0
2018-05-23 00:00:00-04:00,2018-05-23 00:00:00-04:00,GLP,17.55,17.55,17.25,17.65,61040.0,17.441911,256.0
2018-05-24 00:00:00-04:00,2018-05-24 00:00:00-04:00,GLP,17.55,17.55,17.4617,17.65,14723.0,17.557829,189.0
2018-05-25 00:00:00-04:00,2018-05-25 00:00:00-04:00,GLP,17.55,17.7,17.3302,17.775,74814.0,17.622472,340.0
2018-05-29 00:00:00-04:00,2018-05-29 00:00:00-04:00,GLP,17.7,17.35,17.35,17.7,43939.0,17.492155,226.0
2018-05-30 00:00:00-04:00,2018-05-30 00:00:00-04:00,GLP,17.55,17.5,17.4,17.7,44435.0,17.485483,329.0
2018-05-31 00:00:00-04:00,2018-05-31 00:00:00-04:00,GLP,17.55,17.35,17.25,17.55,33947.0,17.369276,236.0
2018-06-01 00:00:00-04:00,2018-06-01 00:00:00-04:00,GLP,17.45,17.5,17.35,17.55,66672.0,17.442813,437.0
2018-06-04 00:00:00-04:00,2018-06-04 00:00:00-04:00,GLP,17.4,17.4,17.3,17.5,40597.0,17.39289,165.0
2018-06-05 00:00:00-04:00,2018-06-05 00:00:00-04:00,GLP,17.35,17.375,17.35,17.45,35920.0,17.392643,183.0
2018-06-06 00:00:00-04:00,2018-06-06 00:00:00-04:00,GLP,17.4,17.15,17.15,17.45,36653.0,17.268058,199.0
2018-06-07 00:00:00-04:00,2018-06-07 00:00:00-04:00,GLP,17.2,17.3,17.2,17.35,16948.0,17.270705,142.0
2018-06-08 00:00:00-04:00,2018-06-08 00:00:00-04:00,GLP,17.3,17.2,17.1,17.3,47793.0,17.202688,286.0
2018-06-11 00:00:00-04:00,2018-06-11 00:00:00-04:00,GLP,17.1,17.25,17.1,17.35,42529.0,17.267127,280.0
2018-06-12 00:00:00-04:00,2018-06-12 00:00:00-04:00,GLP,17.3,17.25,17.2,17.39,22987.0,17.309154,205.0
2018-06-13 00:00:00-04:00,2018-06-13 00:00:00-04:00,GLP,17.25,17.2,17.1,17.2747,37490.0,17.175262,288.0
2018-06-14 00:00:00-04:00,2018-06-14 00:00:00-04:00,GLP,17.15,17.1,17.05,17.25,21128.0,17.135385,179.0
2018-06-15 00:00:00-04:00,2018-06-15 00:00:00-04:00,GLP,17.05,16.75,16.75,17.05,96619.0,16.850658,428.0
2018-06-18 00:00:00-04:00,2018-06-18 00:00:00-04:00,GLP,16.8,17.15,16.8,17.15,26515.0,17.044165,238.0
2018-06-19 00:00:00-04:00,2018-06-19 00:00:00-04:00,GLP,17.1,17.1,16.9,17.15,28742.0,17.059304,148.0
2018-06-20 00:00:00-04:00,2018-06-20 00:00:00-04:00,GLP,17.1,17.15,17.0842,17.25,16280.0,17.147621,117.0
2018-06-21 00:00:00-04:00,2018-06-21 00:00:00-04:00,GLP,17.1,17.05,16.95,17.2,34199.0,17.068622,204.0
2018-06-22 00:00:00-04:00,2018-06-22 00:00:00-04:00,GLP,17.25,17.15,16.8998,17.35,27990.0,17.062905,232.0
2018-06-25 00:00:00-04:00,2018-06-25 00:00:00-04:00,GLP,17.3,16.9,16.85,17.3,51561.0,17.020043,243.0
2018-06-26 00:00:00-04:00,2018-06-26 00:00:00-04:00,GLP,16.95,17.05,16.95,17.1965,17360.0,17.04208,174.0
2018-06-27 00:00:00-04:00,2018-06-27 00:00:00-04:00,GLP,17.15,16.95,16.9,17.1736,38166.0,17.048833,327.0
2018-06-28 00:00:00-04:00,2018-06-28 00:00:00-04:00,GLP,17.1,17.1,16.9,17.2,20360.0,17.061727,171.0
2018-06-29 00:00:00-04:00,2018-06-29 00:00:00-04:00,GLP,17.15,17.05,17.05,17.15,19580.0,17.098154,147.0
2018-07-02 00:00:00-04:00,2018-07-02 00:00:00-04:00,GLP,17.1,17.1,17.0,17.15,38360.0,17.050366,193.0
2018-07-03 00:00:00-04:00,2018-07-03 00:00:00-04:00,GLP,17.2,17.35,17.0502,17.5,41258.0,17.311543,250.0
2018-07-05 00:00:00-04:00,2018-07-05 00:00:00-04:00,GLP,17.45,17.3,17.25,17.5,26709.0,17.307547,236.0
2018-07-06 00:00:00-04:00,2018-07-06 00:00:00-04:00,GLP,17.3,17.3,17.25,17.4999,20854.0,17.367567,182.0
2018-07-09 00:00:00-04:00,2018-07-09 00:00:00-04:00,GLP,17.25,17.35,17.25,17.5,40749.0,17.39345,167.0
2018-07-10 00:00:00-04:00,2018-07-10 00:00:00-04:00,GLP,17.5,17.45,17.3,17.55,27930.0,17.386148,239.0
2018-07-11 00:00:00-04:00,2018-07-11 00:00:00-04:00,GLP,17.3,17.25,17.2339,17.4,28293.0,17.318164,196.0
2018-07-12 00:00:00-04:00,2018-07-12 00:00:00-04:00,GLP,17.35,17.15,17.05,17.4656,23759.0,17.23787,154.0
